
############## carina - 07/24/20 18:10:17 EDT -0400 ##############

2020-07-24 18:10:17 PING 8.8.8.8 (8.8.8.8) 56(84) bytes of data.
2020-07-25 03:17:50 64 bytes from 8.8.8.8: icmp_seq=204 ttl=114 time=68.9 ms
2020-07-25 03:18:50 64 bytes from 8.8.8.8: icmp_seq=205 ttl=114 time=53.3 ms
2020-07-25 03:19:50 64 bytes from 8.8.8.8: icmp_seq=206 ttl=114 time=61.8 ms
2020-07-25 03:20:50 64 bytes from 8.8.8.8: icmp_seq=207 ttl=114 time=54.2 ms
2020-07-25 03:21:50 64 bytes from 8.8.8.8: icmp_seq=208 ttl=114 time=55.5 ms
2020-07-25 03:22:50 64 bytes from 8.8.8.8: icmp_seq=209 ttl=114 time=60.6 ms
2020-07-25 03:23:50 64 bytes from 8.8.8.8: icmp_seq=210 ttl=114 time=51.7 ms
2020-07-25 03:24:50 64 bytes from 8.8.8.8: icmp_seq=211 ttl=114 time=39.2 ms
2020-07-25 03:25:50 64 bytes from 8.8.8.8: icmp_seq=212 ttl=114 time=62.0 ms
2020-07-25 03:26:50 64 bytes from 8.8.8.8: icmp_seq=213 ttl=114 time=62.4 ms
2020-07-25 03:27:50 64 bytes from 8.8.8.8: icmp_seq=214 ttl=114 time=58.9 ms
2020-07-25 03:28:51 64 bytes from 8.8.8.8: icmp_seq=215 ttl=114 time=48.3 ms
2020-07-25 03:29:51 64 bytes from 8.8.8.8: icmp_seq=216 ttl=114 time=50.4 ms
2020-07-25 03:30:51 64 bytes from 8.8.8.8: icmp_seq=217 ttl=114 time=50.5 ms
2020-07-25 03:31:51 64 bytes from 8.8.8.8: icmp_seq=218 ttl=114 time=48.4 ms
2020-07-25 03:32:51 64 bytes from 8.8.8.8: icmp_seq=219 ttl=114 time=50.8 ms
2020-07-25 03:33:51 64 bytes from 8.8.8.8: icmp_seq=220 ttl=114 time=56.6 ms
2020-07-25 03:34:51 64 bytes from 8.8.8.8: icmp_seq=221 ttl=114 time=60.0 ms
2020-07-25 03:35:51 64 bytes from 8.8.8.8: icmp_seq=222 ttl=114 time=54.7 ms
2020-07-25 03:36:51 64 bytes from 8.8.8.8: icmp_seq=223 ttl=114 time=68.0 ms
2020-07-25 03:37:51 64 bytes from 8.8.8.8: icmp_seq=224 ttl=114 time=60.5 ms
2020-07-25 03:38:51 64 bytes from 8.8.8.8: icmp_seq=225 ttl=114 time=48.3 ms
2020-07-25 03:39:51 64 bytes from 8.8.8.8: icmp_seq=226 ttl=114 time=55.3 ms
2020-07-25 03:40:51 64 bytes from 8.8.8.8: icmp_seq=227 ttl=114 time=58.8 ms
2020-07-25 03:41:51 64 bytes from 8.8.8.8: icmp_seq=228 ttl=114 time=52.0 ms
2020-07-25 03:42:51 64 bytes from 8.8.8.8: icmp_seq=229 ttl=114 time=43.3 ms
2020-07-25 03:43:51 64 bytes from 8.8.8.8: icmp_seq=230 ttl=114 time=51.5 ms
2020-07-25 03:44:51 64 bytes from 8.8.8.8: icmp_seq=231 ttl=114 time=49.6 ms
2020-07-25 03:45:51 64 bytes from 8.8.8.8: icmp_seq=232 ttl=114 time=39.9 ms
2020-07-25 03:46:51 64 bytes from 8.8.8.8: icmp_seq=233 ttl=114 time=54.0 ms
2020-07-25 03:47:51 64 bytes from 8.8.8.8: icmp_seq=234 ttl=114 time=53.2 ms
2020-07-25 03:48:51 64 bytes from 8.8.8.8: icmp_seq=235 ttl=114 time=59.7 ms
2020-07-25 03:49:52 64 bytes from 8.8.8.8: icmp_seq=236 ttl=114 time=50.8 ms
2020-07-25 03:50:52 64 bytes from 8.8.8.8: icmp_seq=237 ttl=114 time=51.1 ms
2020-07-25 03:51:52 64 bytes from 8.8.8.8: icmp_seq=238 ttl=114 time=52.3 ms
2020-07-25 03:52:52 64 bytes from 8.8.8.8: icmp_seq=239 ttl=114 time=47.1 ms
2020-07-25 03:53:52 64 bytes from 8.8.8.8: icmp_seq=240 ttl=114 time=53.4 ms
2020-07-25 03:54:52 64 bytes from 8.8.8.8: icmp_seq=241 ttl=114 time=38.2 ms
2020-07-25 03:55:52 64 bytes from 8.8.8.8: icmp_seq=242 ttl=114 time=45.3 ms
2020-07-25 03:56:52 64 bytes from 8.8.8.8: icmp_seq=243 ttl=114 time=39.0 ms
2020-07-25 03:57:52 64 bytes from 8.8.8.8: icmp_seq=244 ttl=114 time=50.4 ms
2020-07-25 03:58:52 64 bytes from 8.8.8.8: icmp_seq=245 ttl=114 time=42.7 ms
2020-07-25 03:59:52 64 bytes from 8.8.8.8: icmp_seq=246 ttl=114 time=46.3 ms
2020-07-25 04:00:52 64 bytes from 8.8.8.8: icmp_seq=247 ttl=114 time=43.6 ms
2020-07-25 04:01:52 64 bytes from 8.8.8.8: icmp_seq=248 ttl=114 time=47.9 ms
2020-07-25 04:02:52 64 bytes from 8.8.8.8: icmp_seq=249 ttl=114 time=40.2 ms
